region_area_,ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
region_area_1,3.71608007538699,180.19681119650213,18630.36266859145,6.330435262759783,,602.9903591348523,15.28501311635726,56.44407628451764,4.500656274942408,0
region_area_100,4.270716194733736,217.61159922184328,24405.555345573863,7.086699517318439,297.95185232878293,359.62391036764893,13.583526445498858,54.58983954440166,3.763905902952325,0
region_area_1000,6.64884918609138,232.4620127483526,30733.808648233444,5.656461602570044,344.6703354718926,267.8091794322704,17.86344368068323,35.411181418536366,4.827527398066652,0
region_area_1001,,261.7536374862169,21174.71329108731,7.314073967321961,,582.848407158898,15.21584888722496,90.36745503627785,4.217553378155117,0
region_area_1002,9.323583858284508,263.48456048744805,15751.480110917826,5.196259493137099,297.5936251634803,409.8787042300347,10.72726549121732,74.66928505833691,3.006650221855861,0
region_area_1003,4.58196872788087,236.8718059626323,33897.37301227796,6.05359167513934,317.29790454995816,416.4873779740672,19.80484804212288,62.4383034807969,4.500207624732678,0
region_area_1004,7.884841993204571,280.0165505134588,21734.13285420274,7.598270848218062,315.93509691148176,378.87589370676017,11.740399275284044,49.91932225005693,4.631640754077167,0
region_area_1005,6.168838539281275,289.0749384316264,24827.821451494263,7.415200337826561,270.23528642281303,492.7783272625631,22.19699022275749,79.28428110264582,4.435760073378445,0
region_area_1007,,285.7784884199484,3901.218702352235,6.6339189040531,287.5102145653865,563.5990321982864,19.523013145029196,84.96273971524387,4.071343675272809,0
region_area_1008,8.693104326309328,235.54670003709265,13284.082864051112,6.217004048551094,349.2999051992508,571.0709101723107,14.0833479332217,71.84884510840361,2.8982230607674366,0
region_area_1009,,245.57998210236363,32981.544267109566,9.249974670057252,,296.8994316111977,10.520889061475469,72.02014736385544,3.2316796925242075,0
region_area_101,7.348844511550613,274.0388304117653,11519.351337977694,8.584748058718388,,504.2634340869637,18.250374253777164,73.83052201680901,4.880875156180851,0
region_area_1014,5.487876362610197,229.98087380334565,20162.32342848795,4.906619726865357,306.0092552316221,520.7143850554352,12.693474813106416,58.97655797518673,4.223576482290001,0
region_area_1015,,257.3517336617788,40710.82919636343,8.508855468388983,321.19444098709266,478.15671474869936,14.628499755943931,71.56544718045613,5.486132309176686,0
region_area_1016,8.31595907145097,272.0441134344758,16123.609261149146,9.170990507680074,348.92244389666564,511.7789825863527,22.264747227563287,75.47997409259993,2.760212573568241,0
region_area_1017,8.55107774771961,267.18982281555355,28909.59509477415,6.631971720352967,295.9688198156681,521.0000007242986,16.3073714425128,79.97432285927394,4.046379690043383,0
region_area_1018,6.013160966461117,269.61714676714803,21574.052381735037,8.991041379636743,321.9134263754329,454.3816349599716,14.849347366499936,62.55823904691303,3.455622540984072,0
region_area_102,8.526169869777789,226.3867270033012,11837.428170229552,7.178898216885161,309.1436286987646,484.3454822906341,21.95091625254205,52.48720110667482,5.083014141516923,0
region_area_1020,5.218989651481935,215.5648822433236,27008.191716412704,6.287706337672216,,432.3288018334672,14.175878980982857,74.03531967832119,4.383942553936008,0
region_area_1021,,291.2036775088827,25959.918708455647,10.26678567820356,,456.8479748194644,13.678471029245127,80.38337178982509,3.3583534546716933,0
region_area_1022,7.4587076827919985,258.5604640936323,10513.601591842204,8.615822304172227,,452.4731430865993,18.83030225065105,44.01308750713744,2.938082397276258,0
region_area_1023,11.0278798626952,279.0966882823575,13124.410446962687,7.211832594448409,320.0991525743508,386.3369179250843,8.138858640214078,48.6440379267296,4.178897908640168,0
region_area_1024,6.729580190108561,292.93803661513,17975.85803763903,9.503840534898089,322.9802146275728,450.9644348346213,13.67622271670977,62.29447698396133,4.003458052258935,0
region_area_1026,7.159398310953257,222.5899960062549,28955.10582267664,5.512279673579623,358.0738719526868,540.6314113279316,18.22204225580013,79.20944034942161,3.254926496664732,0
region_area_1028,6.209697436775356,220.0923954984756,22611.07352405641,4.570603259981963,328.1250516952557,559.3817282750748,17.120118041754022,51.6205082848889,3.893766831260585,0
region_area_1029,,229.55160676646827,10491.143797427305,7.228231380834994,354.8027616812906,377.863689247449,14.77395004953642,57.516465119390645,4.126407533121048,0
region_area_1031,5.375895978926893,204.48676495805407,56868.16404677554,7.58927555033024,,503.9934637727761,15.221022810250796,57.82799203911127,4.174219639817962,0
region_area_1032,8.697122159630041,217.22666487028303,27752.30505018493,5.046112910985534,373.0092125463525,403.6607957093136,13.853667952485504,75.13954460824469,4.180567592572657,0
region_area_1033,7.748928548486438,249.6169849135876,18940.241465502066,7.071072480807497,317.5653615905394,378.5078571359746,10.089033412182156,65.36655080129822,3.13694500654802,0
region_area_1034,7.117917746068107,266.89020925088914,20067.87759944085,9.30084019628812,349.8300621266029,342.07666097165446,17.644129697152987,84.14785791706687,4.213567957421265,0
region_area_1036,5.5242965308965095,207.91631500394783,26220.479024759257,6.039774653732926,380.5334896274644,485.4472715238402,17.008180314450765,51.22161420520598,4.033391217742071,0
region_area_1037,10.201425755101072,241.57296966880315,8919.197410654924,4.595064188790584,307.2404826587871,341.4839519350312,18.630433629799068,68.66244753582545,3.964449588219743,0
region_area_1038,5.3681257542274565,241.7118699642813,32619.61778512214,7.794028223717236,352.10324698668023,445.7714691770236,12.088635213850337,108.0158419398943,2.0041425861250266,0
region_area_1039,8.937802407855287,198.6907827569035,10562.765349688583,3.3894643778472355,371.9214263992343,490.4252176564736,17.085754992450273,61.27304740064221,2.831234425504209,0
region_area_1040,8.12420782636168,258.2834058325601,26489.41951190024,8.236026754704733,318.80473714677703,441.7306771931073,10.18059844389732,64.09922489979381,4.72445657765958,0
region_area_1041,7.184973118804081,251.8531100598315,25234.732782726587,4.911873863182554,284.48972472413163,394.11655761567454,12.532538333244627,23.25161101812322,3.665410662111125,0
region_area_1045,6.369111631336883,286.11483340231,34457.10594293518,8.866129338796348,296.0956374690637,367.5222847663841,9.31826753890105,59.39526923898087,2.275903461382081,0
region_area_1046,6.733493842280846,248.3365552782754,27430.746541694625,5.730276256948912,304.6827832534042,407.7899857048673,19.49902667007892,54.625725138101856,3.178003604766868,0
region_area_1049,8.27205509125987,254.99921975002053,24196.827489378447,8.143594603608104,333.63549561952266,510.78987324886776,15.262407524684344,71.13774371395475,5.140207742689406,0
region_area_1050,8.746985976471965,199.16761441189848,22175.08595113133,5.154361211794681,370.1149944693968,417.4858248759786,15.997078526968648,72.27901932471842,4.7637305356972295,0
region_area_1051,8.154840855474227,253.0912254415931,25621.07617582088,7.346857816809591,367.9694103617877,607.9750731609196,11.907846743479222,72.49976153380526,3.696327574847777,0
region_area_1052,9.045720545334614,272.9580597702944,22829.415652690517,7.305022454517779,293.80757246277585,568.8528629141496,15.462582771424293,44.67026428426127,4.213700443947227,0
region_area_1056,8.184410006452293,217.41044451179687,17945.15718596783,3.7341444176042753,332.6993125975922,373.3407556323936,12.64083833166141,56.425592251147485,4.599082200140892,0
region_area_1057,7.636454091471839,289.7099650254073,18136.56639536916,10.781715630011396,352.30392390210625,525.0690600608643,8.742461294328717,55.71851213195102,3.332906497382808,0
region_area_1059,7.617148870829691,247.38083269344563,27080.573532832877,7.077944261618984,345.9250005068397,339.1216463536928,8.652283221007036,60.2597024187457,2.3915400059994005,0
region_area_1060,6.664934584402665,269.54389903551566,16477.65561674046,7.020190188297615,300.5916366493216,422.41358785515297,17.297685258211498,41.15078908801768,4.502138213738983,0
region_area_1061,,232.93577100745307,30647.120086043,6.020351033940435,295.7112014688564,414.2251524319341,14.8172846318361,106.4867198108593,3.855772963661712,0
region_area_1062,8.81535795265852,259.10497472858714,26780.996597952784,6.919151246362725,329.86479826190305,440.51189429165424,7.25675061626286,88.52829592006837,2.875880180472337,0
region_area_1064,6.225152012969118,220.51506220415965,29533.9136367387,5.27010650210808,,390.2197511485802,17.70050986619479,75.63405904155269,2.770822652580127,0
region_area_1066,8.567043820038332,210.9917577226356,23683.415000592708,3.982119783500827,361.031395071657,500.6175388823359,9.13216717199712,67.59122913468437,2.8049268236561344,0
region_area_1068,3.3445885334830234,207.2538175203625,55335.00760991394,8.225290960361058,371.8928835955646,495.7361478071609,17.085609973919627,69.7374900678997,2.57514103097745,0
region_area_1069,,249.4288665228276,20063.795137793357,9.235173308027788,345.363648008455,423.0842013051188,9.87208068894692,43.25699974674722,4.565423281976806,0
region_area_1070,,243.02805260116887,21762.918956499037,6.954827616561159,332.3947717183677,407.36782569322185,18.366212947742596,46.09662417818872,4.344804944234699,1
region_area_1072,,223.5053234670849,28894.781780542628,3.946106170429065,245.03025828332704,569.7343401265503,21.445849260481207,51.38971187375938,2.959749614118373,1
region_area_1073,7.2034388489879815,219.2192485573615,22826.78950807509,5.9784390949538855,272.6371578394294,447.4758632363272,16.515654069644068,64.6209225796531,6.389161009216368,1
region_area_1074,6.150487600902442,291.6623130464293,6342.80765339765,9.305085192126484,422.0882996600043,364.4975258525227,12.445384227384618,83.35366138787501,3.551655811015034,1
region_area_1075,,276.73298302400497,9660.963112601494,8.522843919980717,398.6693534541371,325.8559090103922,16.82155697181717,17.1156829336748,3.9592936152493454,1
region_area_1076,6.767523658273503,254.52494639774565,21163.031545524344,4.927939106819524,251.80749711872863,345.01037583271,13.319324170384771,79.97800940720748,3.3002534975545297,1
region_area_1077,8.037430326921505,199.18919961887093,48410.775824687145,4.451069073699275,268.95700898862947,403.0062057483384,12.571609696344336,,2.5062381267412426,1
region_area_108,6.09815652147278,240.7697366749759,27777.20586231449,6.138287256767236,348.67551357621653,255.96463197125263,14.74188225637759,73.53963245501653,3.9773623643299727,0
region_area_1081,8.546145555159878,228.6201351299489,23349.790227455247,7.347262623770362,353.56216585984896,423.4265995216606,12.462385264920709,108.96456802943516,3.505300168213539,1
region_area_1082,5.43251208523776,282.1254664418564,14970.952054190926,8.875892570687148,410.7335739563913,458.9697411014512,10.94324882295272,65.66321585708566,3.8744253151616057,1
region_area_1083,7.71408935995488,245.51217284345475,27337.26743459229,7.326546444421178,322.8180694417832,357.9342033093425,10.746789193560785,63.8379329123407,3.1825828574638706,1
region_area_1084,8.154531511065274,218.87282606657908,21361.50186347189,5.894033358756444,,429.2783119911466,12.407668565189775,60.00236705683962,2.460464866914837,1
region_area_1085,,240.9930583001998,23095.17720419869,6.177175088796216,299.1012703088827,424.9941302666953,13.566794433552086,51.01023315180075,2.977047400244634,1
region_area_1086,7.845879929236758,244.55889045203932,13770.165048500929,8.70235057940281,344.3659363464036,520.4106029860773,13.872801756435347,99.29059466917607,3.667154204946097,1
region_area_1088,5.694694238027413,291.48607279359044,7998.979321797952,7.819454806556395,,487.1528068133754,15.564306961954156,69.01060274912847,3.870610799553027,1
region_area_109,8.41997068212899,236.4928794752279,13238.29441519191,3.693455219878437,308.88775201333067,473.7522773728418,17.31456505547082,48.89811165978784,3.962478314282775,0
region_area_1091,,251.08912641031995,19947.73928512838,7.073425259973383,337.976581684669,305.8620531503065,14.13899501280876,29.783142132758307,4.387208418499805,1
region_area_1092,,255.9021941665233,17538.294426427663,7.720995488065077,396.8370305432843,328.6416328698039,13.965453410173364,93.82987616150676,2.9997023209082743,1
region_area_1094,7.741245058636744,269.01107715631497,22825.00427577836,8.391668212698608,364.7378608825008,531.1212605795932,15.415631395152255,73.8380701214078,3.7411433659749633,1
region_area_1095,4.18749081481174,259.1480787771091,21810.01464491705,5.541301420416433,328.21931622927787,274.6130825120705,11.340144226195417,46.79759729003305,4.592959344095949,1
region_area_1096,,192.9194562494376,45141.99084700472,5.72582933901632,240.94361791136365,379.385428971705,20.710552070757085,70.28338922009739,4.604724795804473,1
region_area_1097,7.808012211560277,230.57380728907413,17038.03017770153,6.073553872418946,348.8166237231362,600.165545946643,12.197499340332495,81.70736187913101,4.165549905534822,1
region_area_11,7.974521648923869,269.46719117022434,18767.961492434584,7.805573880021658,,374.2032304620488,14.630745697593207,76.60091117965156,4.011718108339787,0
region_area_1100,,263.81508214550576,12036.947854204358,9.489919614469086,349.91650781608087,294.1229948359197,12.524905500514688,74.78938320745698,3.898915859529646,1
region_area_1101,9.48960096649994,218.66151939408545,40032.71881543009,8.044396172652865,,364.8957411559858,14.27331423855723,102.68284617405872,4.300694899087454,1
region_area_1102,7.457979826928165,234.2352001965192,14733.76356770686,7.170462743232459,336.41315883135405,492.74217983915577,9.0682538826383,82.69633834918346,4.497730795590356,1
